time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,13.321622506292655,1.0,8285.913058791119,0.0,-5156.5547809666705,0.2,0.00020991647585673278,58611.431844332714,14.212893484476686,0.5111419333982097,16936.399686605273,68.05737270077049
103.31971537928362,1376.3862457404161,13.321622506292655,7384.149441780192,7237.432498380594,0.0,-4805.354185451834,0.22168851053893993,0.00020991647585673278,58546.693319535974,15.339332813559688,0.4835975719886313,15153.619777586742,75.07992833966837
245.87983475053022,3275.5183404561826,13.321622506292655,18756.71336509196,6297.863468438647,0.0,-4477.960697560485,0.25161422839506714,0.00020991647585673278,58463.591446055274,16.47032092681683,0.4614587873941622,13408.467844200028,84.65156759948154
290.9996251081782,3876.587155163832,13.321622506292655,22639.601479509103,6086.503839155033,0.0,-4397.760198161003,0.26108561577833916,0.00020991647585673278,58438.329492623016,16.73101236979392,0.4574741202802851,12980.520307147564,87.65218699586552
290.9996251081782,3876.587155163832,13.321622506292655,22639.601479509103,6086.503839155033,0.0,-4397.760198161003,0.26108561577833916,0.00020991647585673278,58438.329492623016,16.73101236979392,0.4574741202802851,12980.520307147564,87.65218699586552
502.00785073374084,6687.559082670206,13.321622506292655,42582.9521656329,5455.064112364774,0.0,-4150.881909973739,0.3053797188784396,0.00020991647585673278,58324.91676800481,17.50473079568385,0.4514442235934979,11513.803886394453,101.50029359050397
793.1561347090437,10566.126615144087,13.321622506292655,74834.92460531127,5152.267319852594,0.0,-3978.3779341856034,0.36649654060227044,0.00020991647585673278,58176.40564043238,17.629552709413932,0.4579102543595671,10388.118152780255,120.10076441702083
885.3035711302016,11793.679978069355,13.321622506292655,86161.74989422066,5126.808065848657,0.0,-3930.528613220403,0.3858398057150323,0.00020991647585673278,58130.31519492089,17.251253060547782,0.45004876269714633,10156.037554265407,125.8635118414046
885.3035711302016,11793.679978069355,13.321622506292655,86161.74989422066,5126.808065848657,0.0,-3930.528613220403,0.3858398057150323,0.00020991647585673278,58130.31519492089,17.251253060547782,0.45004876269714633,10156.037554265407,125.8635118414046
1136.1714741009775,15135.647480391286,13.321622506292655,119660.2630990449,5143.290518236145,0.0,-3827.755421872367,0.4385011118122263,0.00020991647585673278,58007.94314729878,16.026572912592542,0.4245501301856043,9701.43780644321,141.24472979421253
1482.317977337464,19746.88052838097,13.321622506292655,172100.8680506418,5186.534247212152,0.0,-3837.4550251493374,0.5111629659017607,0.00020991647585673278,57841.42747607616,13.416730253427254,0.5304791758222117,9251.890517194526,161.71534585394264
